t_ms,host_time_iso,true_distance_cm,raw_cm,ema_cm,lp_cm,median_cm,outlier_cm,kalman_cm
413,2025-09-21T16:44:34.353,80,80.331,80.331,80.331,80.331,80.331,80.331
513,2025-09-21T16:44:34.401,80,81.6,80.648,80.648,80.965,81.6,81.177
613,2025-09-21T16:44:34.498,80,79.284,80.307,80.307,80.331,79.284,80.418
713,2025-09-21T16:44:34.598,80,79.233,80.039,80.039,79.808,79.233,80.078
813,2025-09-21T16:44:34.698,80,79.747,79.966,79.966,79.747,79.747,80.004
913,2025-09-21T16:44:34.797,80,79.662,79.89,79.89,79.662,79.662,79.941
1013,2025-09-21T16:44:34.899,80,80.434,80.026,80.026,79.662,80.434,80.018
1113,2025-09-21T16:44:34.998,80,80.811,80.222,80.222,79.747,80.811,80.127
1213,2025-09-21T16:44:35.099,80,81.017,80.421,80.421,80.434,81.017,80.236
1313,2025-09-21T16:44:35.198,80,82.697,80.99,80.99,80.811,82.697,80.508
1413,2025-09-21T16:44:35.299,80,88.7,82.917,82.917,81.017,80.434,81.337
1513,2025-09-21T16:44:35.398,80,81.342,82.524,82.524,81.342,81.342,81.337
1613,2025-09-21T16:44:35.499,80,82.028,82.4,82.4,82.028,82.028,81.398
1713,2025-09-21T16:44:35.624,80,-1,82.4,82.4,82.028,80.811,81.398
1813,2025-09-21T16:44:35.723,80,-1,82.4,82.4,82.028,80.811,81.398
1913,2025-09-21T16:44:35.793,80,0.051,61.813,61.813,82.028,80.811,75.414
2013,2025-09-21T16:44:35.923,80,-1,61.813,61.813,82.028,80.811,75.414
2113,2025-09-21T16:44:36.024,80,-1,61.813,61.813,82.028,80.811,75.414
2213,2025-09-21T16:44:36.094,80,0.051,46.372,46.372,81.342,80.811,70.525
2313,2025-09-21T16:44:36.199,80,80.588,54.926,54.926,80.588,80.588,71.155
2413,2025-09-21T16:44:36.298,80,81.857,61.659,61.659,80.588,81.857,71.806
2513,2025-09-21T16:44:36.399,80,81.017,66.498,66.498,80.588,81.017,72.35
2613,2025-09-21T16:44:36.499,80,80.176,69.918,69.918,80.588,80.176,72.8
2713,2025-09-21T16:44:36.599,80,79.284,72.259,72.259,80.588,79.284,73.164
2813,2025-09-21T16:44:36.698,80,81.823,74.65,74.65,81.017,81.823,73.64
2913,2025-09-21T16:44:36.799,80,81.222,76.293,76.293,81.017,81.222,74.049
3013,2025-09-21T16:44:36.899,80,79.113,76.998,76.998,80.176,79.113,74.317
3113,2025-09-21T16:44:36.999,80,80.228,77.806,77.806,80.228,80.228,74.625
3213,2025-09-21T16:44:37.099,80,80.656,78.518,78.518,80.656,80.656,74.935
3313,2025-09-21T16:44:37.199,80,80.759,79.079,79.079,80.656,80.759,75.23
3413,2025-09-21T16:44:37.299,80,79.49,79.181,79.181,80.228,79.49,75.443
3513,2025-09-21T16:44:37.399,80,78.701,79.061,79.061,80.228,78.701,75.604
3613,2025-09-21T16:44:37.499,80,80.228,79.353,79.353,80.228,80.228,75.83
3713,2025-09-21T16:44:37.598,80,79.164,79.306,79.306,79.49,79.164,75.991
3813,2025-09-21T16:44:37.699,80,78.804,79.18,79.18,79.164,78.804,76.126
3913,2025-09-21T16:44:37.799,80,79.062,79.151,79.151,79.062,79.062,76.266
4013,2025-09-21T16:44:37.898,80,77.381,78.708,78.708,79.062,77.381,76.319
4113,2025-09-21T16:44:37.999,80,79.01,78.784,78.784,79.01,79.01,76.445
4213,2025-09-21T16:44:38.098,80,78.598,78.737,78.737,78.804,78.598,76.546
4313,2025-09-21T16:44:38.199,80,82.269,79.62,79.62,79.01,79.062,76.812
4413,2025-09-21T16:44:38.299,80,78.118,79.245,79.245,78.598,78.118,76.872
4513,2025-09-21T16:44:38.398,80,80.639,79.593,79.593,79.01,80.639,77.045
4613,2025-09-21T16:44:38.499,80,79.062,79.46,79.46,79.062,79.062,77.137
4713,2025-09-21T16:44:38.599,80,79.13,79.378,79.378,79.13,79.13,77.228
4813,2025-09-21T16:44:38.698,80,78.324,79.114,79.114,79.062,78.324,77.278
4913,2025-09-21T16:44:38.799,80,79.284,79.157,79.157,79.13,79.284,77.369
5013,2025-09-21T16:44:38.899,80,80.228,79.425,79.425,79.13,80.228,77.498
5113,2025-09-21T16:44:38.999,80,78.701,79.244,79.244,79.13,78.701,77.552
5213,2025-09-21T16:44:39.099,80,79.593,79.331,79.331,79.284,79.593,77.644
5313,2025-09-21T16:44:39.199,80,82.543,80.134,80.134,79.593,82.543,77.863
5413,2025-09-21T16:44:39.299,80,79.182,79.896,79.896,79.593,79.182,77.922
5513,2025-09-21T16:44:39.399,80,80.382,80.017,80.017,79.593,80.382,78.032
5613,2025-09-21T16:44:39.499,80,78.65,79.676,79.676,79.593,78.65,78.06
5713,2025-09-21T16:44:39.599,80,78.959,79.496,79.496,79.182,78.959,78.1
5813,2025-09-21T16:44:39.699,80,78.907,79.349,79.349,78.959,78.907,78.136
5913,2025-09-21T16:44:39.799,80,79.747,79.449,79.449,78.959,79.747,78.207
6013,2025-09-21T16:44:39.899,80,79.387,79.433,79.433,78.959,79.387,78.259
6113,2025-09-21T16:44:39.999,80,79.387,79.422,79.422,79.387,79.387,78.309
6213,2025-09-21T16:44:40.098,80,78.924,79.297,79.297,79.387,78.924,78.336
6313,2025-09-21T16:44:40.198,80,80.125,79.504,79.504,79.387,80.125,78.415
6413,2025-09-21T16:44:40.299,80,78.856,79.342,79.342,79.387,78.856,78.435
6513,2025-09-21T16:44:40.399,80,81.428,79.864,79.864,79.387,81.428,78.567
6613,2025-09-21T16:44:40.499,80,79.799,79.847,79.847,79.799,79.799,78.621
6713,2025-09-21T16:44:40.599,80,80.022,79.891,79.891,80.022,80.022,78.683
6813,2025-09-21T16:44:40.699,80,81.017,80.172,80.172,80.022,81.017,78.786
6913,2025-09-21T16:44:40.800,80,81.908,80.606,80.606,81.017,81.908,78.923
7013,2025-09-21T16:44:40.899,80,80.965,80.696,80.696,80.965,80.965,79.013
7113,2025-09-21T16:44:40.999,80,80.176,80.566,80.566,80.965,80.176,79.064
7213,2025-09-21T16:44:41.100,80,85.013,81.678,81.678,81.017,80.176,79.325
7313,2025-09-21T16:44:41.199,80,79.645,81.169,81.169,80.965,79.645,79.339
7413,2025-09-21T16:44:41.299,80,82.44,81.487,81.487,80.965,82.44,79.475
7513,2025-09-21T16:44:41.399,80,82.131,81.648,81.648,82.131,82.131,79.592
7613,2025-09-21T16:44:41.498,80,81.531,81.619,81.619,82.131,81.531,79.677
7713,2025-09-21T16:44:41.598,80,81.908,81.691,81.691,81.908,81.908,79.775
7813,2025-09-21T16:44:41.699,80,81.325,81.6,81.6,81.908,81.325,79.843
7913,2025-09-21T16:44:41.799,80,83.812,82.153,82.153,81.908,83.812,80.017
8013,2025-09-21T16:44:41.900,80,84.532,82.748,82.748,81.908,84.532,80.215
8113,2025-09-21T16:44:41.999,80,81.325,82.392,82.392,81.908,81.325,80.263
8213,2025-09-21T16:44:42.099,80,84.344,82.88,82.88,83.812,84.344,80.442
8313,2025-09-21T16:44:42.200,80,83.538,83.044,83.044,83.812,83.538,80.578
8413,2025-09-21T16:44:42.299,80,83.743,83.219,83.219,83.743,83.743,80.716
8513,2025-09-21T16:44:42.399,80,81.6,82.814,82.814,83.538,81.6,80.755
8613,2025-09-21T16:44:42.499,80,80.434,82.219,82.219,83.538,80.434,80.741
8713,2025-09-21T16:44:42.598,80,84.275,82.733,82.733,83.538,84.275,80.896
8813,2025-09-21T16:44:42.699,80,79.696,81.974,81.974,81.6,79.696,80.843
8913,2025-09-21T16:44:42.799,80,79.182,81.276,81.276,80.434,79.182,80.77
9013,2025-09-21T16:44:42.899,80,79.182,80.752,80.752,79.696,79.182,80.701
9113,2025-09-21T16:44:42.999,80,82.852,81.277,81.277,79.696,82.852,80.795
9213,2025-09-21T16:44:43.099,80,79.696,80.882,80.882,79.696,79.696,80.747
9313,2025-09-21T16:44:43.199,80,78.547,80.298,80.298,79.182,78.547,80.651
9413,2025-09-21T16:44:43.299,80,79.079,79.993,79.993,79.182,79.079,80.582
9513,2025-09-21T16:44:43.399,80,79.593,79.893,79.893,79.593,79.593,80.539
9613,2025-09-21T16:44:43.499,80,80.845,80.131,80.131,79.593,80.845,80.552
9713,2025-09-21T16:44:43.601,80,100.996,85.347,85.347,79.593,79.696,81.447
9813,2025-09-21T16:44:43.698,80,79.953,83.999,83.999,79.953,79.953,81.381
9913,2025-09-21T16:44:43.799,80,81.222,83.305,83.305,80.845,81.222,81.374
10013,2025-09-21T16:44:43.900,80,80.382,82.574,82.574,80.845,80.382,81.331
10113,2025-09-21T16:44:44.000,80,80.485,82.052,82.052,80.485,80.485,81.294
10213,2025-09-21T16:44:44.100,80,80.914,81.767,81.767,80.485,80.914,81.277
10313,2025-09-21T16:44:44.200,80,83.16,82.116,82.116,80.914,83.16,81.36
10413,2025-09-21T16:44:44.300,80,79.85,81.549,81.549,80.485,79.85,81.294
10513,2025-09-21T16:44:44.400,80,77.226,80.469,80.469,80.485,77.226,81.116
10613,2025-09-21T16:44:44.500,80,80.176,80.395,80.395,80.176,80.176,81.075
10713,2025-09-21T16:44:44.600,80,76.335,79.38,79.38,79.85,80.382,80.867
10813,2025-09-21T16:44:44.700,80,82.286,80.107,80.107,79.85,82.286,80.929
10913,2025-09-21T16:44:44.800,80,76.763,79.271,79.271,77.226,76.763,80.747
11013,2025-09-21T16:44:44.900,80,77.021,78.708,78.708,77.021,77.021,80.584
11113,2025-09-21T16:44:45.000,80,77.655,78.445,78.445,77.021,77.655,80.456
11213,2025-09-21T16:44:45.100,80,77.912,78.312,78.312,77.655,77.912,80.345
11313,2025-09-21T16:44:45.200,80,82.697,79.408,79.408,77.655,82.697,80.448
11413,2025-09-21T16:44:45.300,80,81.96,80.046,80.046,77.912,81.96,80.514
11513,2025-09-21T16:44:45.400,80,82.543,80.67,80.67,81.96,82.543,80.603
11613,2025-09-21T16:44:45.499,80,80.279,80.573,80.573,81.96,80.279,80.588
11713,2025-09-21T16:44:45.599,80,77.655,79.843,79.843,81.96,77.655,80.46
11813,2025-09-21T16:44:45.699,80,78.804,79.583,79.583,80.279,78.804,80.388
11913,2025-09-21T16:44:45.799,80,78.701,79.363,79.363,78.804,78.701,80.314
12013,2025-09-21T16:44:45.900,80,76.969,78.765,78.765,78.701,76.969,80.168
12113,2025-09-21T16:44:46.000,80,79.079,78.843,78.843,78.701,79.079,80.12
12213,2025-09-21T16:44:46.099,80,78.015,78.636,78.636,78.701,78.015,80.028
12313,2025-09-21T16:44:46.199,80,77.449,78.339,78.339,78.015,77.449,79.915
12413,2025-09-21T16:44:46.300,80,75.443,77.615,77.615,77.449,75.443,79.72
12513,2025-09-21T16:44:46.399,80,72.596,76.36,76.36,77.449,72.596,79.408
12613,2025-09-21T16:44:46.499,80,66.439,73.88,73.88,75.443,77.655,78.841
12713,2025-09-21T16:44:46.599,80,65.187,71.707,71.707,72.596,77.449,78.244
12813,2025-09-21T16:44:46.699,80,68.651,70.943,70.943,68.651,68.651,77.824
12913,2025-09-21T16:44:46.799,80,70.332,70.79,70.79,68.651,70.332,77.497
13013,2025-09-21T16:44:46.925,80,-1,70.79,70.79,68.651,75.443,77.497
13113,2025-09-21T16:44:47.025,80,-1,70.79,70.79,68.651,75.443,77.497
13213,2025-09-21T16:44:47.094,80,0.051,53.106,53.106,66.439,72.596,74.11
13313,2025-09-21T16:44:47.200,80,92.37,62.922,62.922,68.651,92.37,74.908
13413,2025-09-21T16:44:47.300,80,77.655,66.605,66.605,70.332,77.655,75.028
13513,2025-09-21T16:44:47.399,80,72.87,68.171,68.171,72.87,72.87,74.934
13613,2025-09-21T16:44:47.499,80,63.558,67.018,67.018,72.87,63.558,74.436
13713,2025-09-21T16:44:47.598,80,57.778,64.708,64.708,72.87,57.778,73.708
13813,2025-09-21T16:44:47.698,80,52.976,61.775,61.775,63.558,52.976,72.801
13913,2025-09-21T16:44:47.825,80,-1,61.775,61.775,63.558,66.439,72.801
14013,2025-09-21T16:44:47.924,80,-1,61.775,61.775,63.558,66.439,72.801
14113,2025-09-21T16:44:47.995,80,0.051,46.344,46.344,57.778,65.187,69.62
14213,2025-09-21T16:44:48.099,80,78.633,54.416,54.416,57.778,78.633,70.014
14313,2025-09-21T16:44:48.199,80,72.699,58.987,58.987,57.778,72.699,70.131
14413,2025-09-21T16:44:48.299,80,69.337,61.575,61.575,69.337,69.337,70.097
14513,2025-09-21T16:44:48.398,80,68.977,63.425,63.425,69.337,68.977,70.048
14613,2025-09-21T16:44:48.499,80,70.229,65.126,65.126,70.229,70.229,70.056
14713,2025-09-21T16:44:48.599,80,71.498,66.719,66.719,70.229,71.498,70.119
14813,2025-09-21T16:44:48.699,80,72.87,68.257,68.257,70.229,72.87,70.239
14913,2025-09-21T16:44:48.800,80,74.911,69.921,69.921,71.498,74.911,70.443
15013,2025-09-21T16:44:48.900,80,74.071,70.958,70.958,72.87,74.071,70.602
15113,2025-09-21T16:44:48.999,80,75.134,72.002,72.002,74.071,75.134,70.8
15213,2025-09-21T16:44:49.100,80,76.077,73.021,73.021,74.911,76.077,71.031
15313,2025-09-21T16:44:49.200,80,74.122,73.296,73.296,74.911,74.122,71.166
15413,2025-09-21T16:44:49.299,80,74.551,73.61,73.61,74.551,74.551,71.314
15513,2025-09-21T16:44:49.399,80,74.328,73.79,73.79,74.551,74.328,71.446
15613,2025-09-21T16:44:49.499,80,72.87,73.56,73.56,74.328,72.87,71.508
15713,2025-09-21T16:44:49.599,80,74.928,73.902,73.902,74.328,74.928,71.658
15813,2025-09-21T16:44:49.700,80,74.705,74.103,74.103,74.551,74.705,71.791
15913,2025-09-21T16:44:49.800,80,74.431,74.185,74.185,74.431,74.431,71.907
16013,2025-09-21T16:44:49.899,80,75.597,74.538,74.538,74.705,75.597,72.068
16113,2025-09-21T16:44:50.000,80,76.643,75.064,75.064,74.928,76.643,72.268
16213,2025-09-21T16:44:50.100,80,75.975,75.292,75.292,75.597,75.975,72.43
16313,2025-09-21T16:44:50.200,80,77.226,75.775,75.775,75.975,77.226,72.64
16413,2025-09-21T16:44:50.299,80,76.06,75.847,75.847,76.06,76.06,72.79
16513,2025-09-21T16:44:50.399,80,76.129,75.917,75.917,76.129,76.129,72.936
16613,2025-09-21T16:44:50.499,80,75.666,75.854,75.854,76.06,75.666,73.055
16713,2025-09-21T16:44:50.599,80,75.597,75.79,75.79,76.06,75.597,73.166
16813,2025-09-21T16:44:50.699,80,76.815,76.046,76.046,76.06,76.815,73.326
16913,2025-09-21T16:44:50.800,80,76.489,76.157,76.157,76.129,76.489,73.464
17013,2025-09-21T16:44:50.899,80,74.963,75.858,75.858,75.666,74.963,73.53
17113,2025-09-21T16:44:51.000,80,80.914,77.122,77.122,76.489,76.129,73.852
17213,2025-09-21T16:44:51.099,80,75.066,76.608,76.608,76.489,75.066,73.906
17313,2025-09-21T16:44:51.199,80,74.448,76.068,76.068,75.066,74.448,73.929
17413,2025-09-21T16:44:51.300,80,73.351,75.389,75.389,74.963,73.351,73.904
17513,2025-09-21T16:44:51.399,80,73.436,74.901,74.901,74.448,73.436,73.884
17613,2025-09-21T16:44:51.499,80,75.014,74.929,74.929,74.448,75.014,73.933
17713,2025-09-21T16:44:51.598,80,73.608,74.599,74.599,73.608,73.608,73.919
17813,2025-09-21T16:44:51.700,80,74.705,74.625,74.625,73.608,74.705,73.953
17913,2025-09-21T16:44:51.799,80,74.551,74.607,74.607,74.551,74.551,73.979
18013,2025-09-21T16:44:51.899,80,74.551,74.593,74.593,74.551,74.551,74.004
18113,2025-09-21T16:44:51.999,80,72.819,74.149,74.149,74.551,72.819,73.952
18213,2025-09-21T16:44:52.099,80,74.482,74.233,74.233,74.551,74.482,73.976
18313,2025-09-21T16:44:52.199,80,73.282,73.995,73.995,74.482,73.282,73.945
18413,2025-09-21T16:44:52.300,80,73.865,73.962,73.962,73.865,73.865,73.942
18513,2025-09-21T16:44:52.399,80,73.385,73.818,73.818,73.385,73.385,73.917
18613,2025-09-21T16:44:52.500,80,75.34,74.199,74.199,73.865,75.34,73.98
18713,2025-09-21T16:44:52.598,80,75.168,74.441,74.441,73.865,75.168,74.032
18813,2025-09-21T16:44:52.699,80,74.705,74.507,74.507,74.705,74.705,74.061
18913,2025-09-21T16:44:52.800,80,75.083,74.651,74.651,75.083,75.083,74.106
19013,2025-09-21T16:44:52.899,80,74.328,74.57,74.57,75.083,74.328,74.115
19113,2025-09-21T16:44:52.999,80,74.911,74.656,74.656,74.911,74.911,74.15
19213,2025-09-21T16:44:53.099,80,73.128,74.274,74.274,74.705,73.128,74.106
19313,2025-09-21T16:44:53.199,80,73.762,74.146,74.146,74.328,73.762,74.091
19413,2025-09-21T16:44:53.299,80,73.23,73.917,73.917,73.762,73.23,74.053
19513,2025-09-21T16:44:53.399,80,73.128,73.72,73.72,73.23,73.128,74.012
19613,2025-09-21T16:44:53.499,80,72.922,73.52,73.52,73.128,72.922,73.965
19713,2025-09-21T16:44:53.599,80,73.436,73.499,73.499,73.23,73.436,73.942
19813,2025-09-21T16:44:53.699,80,71.961,73.115,73.115,73.128,71.961,73.855
19913,2025-09-21T16:44:53.799,80,70.761,72.526,72.526,72.922,70.761,73.72
20013,2025-09-21T16:44:53.899,80,70.023,71.901,71.901,71.961,70.023,73.558
20113,2025-09-21T16:44:53.999,80,69.08,71.195,71.195,70.761,73.128,73.362
20213,2025-09-21T16:44:54.099,80,68.96,70.637,70.637,70.023,68.96,73.17
20313,2025-09-21T16:44:54.199,80,73.865,71.444,71.444,70.023,73.865,73.2
20413,2025-09-21T16:44:54.298,80,69.818,71.037,71.037,69.818,69.818,73.052
20513,2025-09-21T16:44:54.399,80,69.235,70.587,70.587,69.235,69.235,72.885
20613,2025-09-21T16:44:54.499,80,70.607,70.592,70.592,69.818,70.607,72.786
20713,2025-09-21T16:44:54.599,80,71.19,70.741,70.741,70.607,71.19,72.716
20813,2025-09-21T16:44:54.699,80,73.591,71.453,71.453,70.607,73.591,72.754
20913,2025-09-21T16:44:54.800,80,72.562,71.731,71.731,71.19,72.562,72.746
21013,2025-09-21T16:44:54.900,80,76.489,72.92,72.92,72.562,76.489,72.909
21113,2025-09-21T16:44:54.999,80,70.658,72.355,72.355,72.562,70.658,72.811
21213,2025-09-21T16:44:55.099,80,71.241,72.076,72.076,72.562,71.241,72.742
21313,2025-09-21T16:44:55.224,80,-1,72.076,72.076,72.562,71.19,72.742
21413,2025-09-21T16:44:55.324,80,-1,72.076,72.076,72.562,71.19,72.742
21513,2025-09-21T16:44:55.394,80,0.051,54.07,54.07,71.241,71.19,69.563
21613,2025-09-21T16:44:55.499,80,75.014,59.306,59.306,71.241,75.014,69.802
21713,2025-09-21T16:44:55.599,80,77.124,63.76,63.76,71.241,77.124,70.122
21813,2025-09-21T16:44:55.699,80,70.504,65.446,65.446,71.241,70.504,70.139
21913,2025-09-21T16:44:55.799,80,79.542,68.97,68.97,75.014,79.542,70.55
22013,2025-09-21T16:44:55.899,80,76.077,70.747,70.747,76.077,76.077,70.792
22113,2025-09-21T16:44:55.999,80,75.271,71.878,71.878,76.077,75.271,70.987
22213,2025-09-21T16:44:56.099,80,74.071,72.426,72.426,75.271,74.071,71.122
22313,2025-09-21T16:44:56.199,80,74.654,72.983,72.983,75.271,74.654,71.277
22413,2025-09-21T16:44:56.299,80,71.395,72.586,72.586,74.654,71.395,71.282
22513,2025-09-21T16:44:56.399,80,76.386,73.536,73.536,74.654,76.386,71.505
22613,2025-09-21T16:44:56.499,80,74.071,73.67,73.67,74.071,74.071,71.617
22713,2025-09-21T16:44:56.599,80,84.327,76.334,76.334,74.654,75.271,72.173
22813,2025-09-21T16:44:56.700,80,77.175,76.544,76.544,76.386,77.175,72.392
22913,2025-09-21T16:44:56.799,80,71.018,75.163,75.163,76.386,71.018,72.332
23013,2025-09-21T16:44:56.899,80,73.488,74.744,74.744,74.071,73.488,72.382
23113,2025-09-21T16:44:56.999,80,74.277,74.627,74.627,74.277,74.277,72.465
23213,2025-09-21T16:44:57.099,80,75.649,74.883,74.883,74.277,75.649,72.604
23313,2025-09-21T16:44:57.199,80,77.072,75.43,75.43,74.277,77.072,72.8
23413,2025-09-21T16:44:57.299,80,77.072,75.84,75.84,75.649,77.072,72.987
