t_ms,host_time_iso,true_distance_cm,raw_cm,ema_cm,lp_cm,median_cm,outlier_cm,kalman_cm
lt_ms,2025-09-21T16:50:18.009,200.0,raw_cm,ema_cm,lp_cm,median_cm,outlier_cm,kalman_cm
413,2025-09-21T16:50:18.063,200.0,211.014,211.014,211.014,211.014,211.014,211.014
513,2025-09-21T16:50:18.118,200.0,196.127,207.292,207.292,203.570,196.127,201.086
613,2025-09-21T16:50:18.214,200.0,195.647,204.381,204.381,196.127,195.647,198.906
713,2025-09-21T16:50:18.332,200.0,-1.000,204.381,204.381,196.127,196.127,198.906
813,2025-09-21T16:50:18.431,200.0,-1.000,204.381,204.381,196.127,196.127,198.906
913,2025-09-21T16:50:18.501,200.0,0.051,153.298,153.298,195.887,195.887,162.211
1013,2025-09-21T16:50:18.632,200.0,-1.000,153.298,153.298,195.887,195.887,162.211
1113,2025-09-21T16:50:18.733,200.0,-1.000,153.298,153.298,195.887,195.887,162.211
1213,2025-09-21T16:50:18.802,200.0,0.051,114.987,114.987,195.647,195.647,142.379
1313,2025-09-21T16:50:18.915,200.0,194.978,134.985,134.985,194.978,194.978,148.194
1413,2025-09-21T16:50:19.015,200.0,195.013,149.992,149.992,194.978,195.013,152.931
1513,2025-09-21T16:50:19.133,200.0,-1.000,149.992,149.992,194.978,195.013,152.931
1613,2025-09-21T16:50:19.233,200.0,-1.000,149.992,149.992,194.978,195.013,152.931
1713,2025-09-21T16:50:19.300,200.0,0.051,112.507,112.507,0.051,194.995,140.412
1813,2025-09-21T16:50:19.430,200.0,-1.000,112.507,112.507,0.051,194.995,140.412
1913,2025-09-21T16:50:19.531,200.0,-1.000,112.507,112.507,0.051,194.995,140.412
2013,2025-09-21T16:50:19.598,200.0,0.051,84.393,84.393,0.051,194.978,130.552
2113,2025-09-21T16:50:19.716,200.0,196.247,112.356,112.356,194.978,196.247,134.978
2213,2025-09-21T16:50:19.816,200.0,207.704,136.193,136.193,195.013,207.704,139.697
2313,2025-09-21T16:50:19.933,200.0,-1.000,136.193,136.193,195.013,195.013,139.697
2413,2025-09-21T16:50:20.033,200.0,-1.000,136.193,136.193,195.013,195.013,139.697
2513,2025-09-21T16:50:20.100,200.0,0.051,102.158,102.158,0.051,194.978,131.451
2613,2025-09-21T16:50:20.231,200.0,-1.000,102.158,102.158,0.051,194.978,131.451
2713,2025-09-21T16:50:20.331,200.0,-1.000,102.158,102.158,0.051,194.978,131.451
2813,2025-09-21T16:50:20.396,200.0,0.051,76.631,76.631,0.051,0.051,124.225
2913,2025-09-21T16:50:20.526,200.0,-1.000,76.631,76.631,0.051,0.051,124.225
3013,2025-09-21T16:50:20.627,200.0,-1.000,76.631,76.631,0.051,0.051,124.225
3113,2025-09-21T16:50:20.696,200.0,0.051,57.486,57.486,0.051,0.051,117.756
3213,2025-09-21T16:50:20.812,200.0,194.652,91.778,91.778,0.051,194.652,121.702
3313,2025-09-21T16:50:20.913,200.0,196.488,117.955,117.955,0.051,196.488,125.488
3413,2025-09-21T16:50:21.031,200.0,-1.000,117.955,117.955,0.051,194.652,125.488
3513,2025-09-21T16:50:21.130,200.0,-1.000,117.955,117.955,0.051,194.652,125.488
3613,2025-09-21T16:50:21.196,200.0,0.051,88.479,88.479,0.051,0.051,119.353
3713,2025-09-21T16:50:21.316,200.0,194.652,115.023,115.023,194.652,194.652,123.001
