t_ms,host_time_iso,true_distance_cm,raw_cm,ema_cm,lp_cm,median_cm,outlier_cm,kalman_cm
413,2025-09-21T16:48:42.867,160.0,156.408,156.408,156.408,156.408,156.408,156.408
513,2025-09-21T16:48:42.922,160.0,158.929,157.038,157.038,157.669,158.929,158.089
613,2025-09-21T16:48:43.018,160.0,162.393,158.377,158.377,158.929,162.393,159.814
713,2025-09-21T16:48:43.117,160.0,155.448,157.645,157.645,157.669,155.448,158.560
813,2025-09-21T16:48:43.216,160.0,157.300,157.558,157.558,157.300,157.300,158.278
913,2025-09-21T16:48:43.317,160.0,155.979,157.164,157.164,157.300,155.979,157.854
1013,2025-09-21T16:48:43.418,160.0,159.289,157.695,157.695,157.300,159.289,158.079
1113,2025-09-21T16:48:43.517,160.0,156.511,157.399,157.399,156.511,156.511,157.864
1213,2025-09-21T16:48:43.618,160.0,155.722,156.980,156.980,156.511,155.722,157.602
1313,2025-09-21T16:48:43.718,160.0,159.667,157.651,157.651,156.511,159.667,157.830
1413,2025-09-21T16:48:43.818,160.0,156.700,157.413,157.413,156.700,156.700,157.716
1513,2025-09-21T16:48:43.918,160.0,161.279,158.380,158.380,156.700,161.279,158.049
1613,2025-09-21T16:48:44.018,160.0,155.293,157.608,157.608,156.700,155.293,157.809
1713,2025-09-21T16:48:44.137,160.0,-1.000,157.608,157.608,156.700,156.700,157.809
1813,2025-09-21T16:48:44.237,160.0,-1.000,157.608,157.608,156.700,156.700,157.809
1913,2025-09-21T16:48:44.307,160.0,0.051,118.219,118.219,156.700,156.511,146.205
2013,2025-09-21T16:48:44.418,160.0,155.105,127.440,127.440,155.293,155.105,146.830
2113,2025-09-21T16:48:44.518,160.0,154.350,134.168,134.168,155.105,154.350,147.337
2213,2025-09-21T16:48:44.617,160.0,155.568,139.518,139.518,155.105,155.568,147.871
2313,2025-09-21T16:48:44.737,160.0,-1.000,139.518,139.518,155.105,155.722,147.871
2413,2025-09-21T16:48:44.837,160.0,-1.000,139.518,139.518,155.105,155.722,147.871
2513,2025-09-21T16:48:44.907,160.0,0.051,104.651,104.651,154.350,155.568,139.142
2613,2025-09-21T16:48:45.018,160.0,160.970,118.731,118.731,155.105,160.970,140.398
2713,2025-09-21T16:48:45.118,160.0,157.969,128.540,128.540,155.568,157.969,141.385
2813,2025-09-21T16:48:45.218,160.0,159.718,136.335,136.335,157.969,159.718,142.393
2913,2025-09-21T16:48:45.318,160.0,158.346,141.838,141.838,158.346,158.346,143.253
3013,2025-09-21T16:48:45.418,160.0,158.243,145.939,145.939,158.346,158.243,144.047
3113,2025-09-21T16:48:45.518,160.0,154.933,148.187,148.187,158.243,154.933,144.614
3213,2025-09-21T16:48:45.618,160.0,159.049,150.903,150.903,158.346,159.049,145.355
3313,2025-09-21T16:48:45.718,160.0,159.615,153.081,153.081,158.346,159.615,146.077
3413,2025-09-21T16:48:45.817,160.0,157.351,154.148,154.148,158.243,157.351,146.641
3513,2025-09-21T16:48:45.918,160.0,158.980,155.356,155.356,158.980,158.980,147.250
3613,2025-09-21T16:48:46.017,160.0,158.723,156.198,156.198,158.980,158.723,147.811
3713,2025-09-21T16:48:46.117,160.0,156.082,156.169,156.169,158.723,156.082,148.212
3813,2025-09-21T16:48:46.218,160.0,156.031,156.135,156.135,157.351,156.031,148.588
3913,2025-09-21T16:48:46.317,160.0,156.768,156.293,156.293,156.768,156.768,148.977
4013,2025-09-21T16:48:46.417,160.0,155.516,156.099,156.099,156.082,155.516,149.286
4113,2025-09-21T16:48:46.517,160.0,157.660,156.489,156.489,156.082,157.660,149.680
4213,2025-09-21T16:48:46.617,160.0,158.672,157.035,157.035,156.768,158.672,150.100
