t_ms,host_time_iso,true_distance_cm,raw_cm,ema_cm,lp_cm,median_cm,outlier_cm,kalman_cm
413,2025-09-21T16:52:41.681,300.0,-1.000,,,,-1.000,-1.000
513,2025-09-21T16:52:41.752,300.0,-1.000,,,,-1.000,-1.000
613,2025-09-21T16:52:41.851,300.0,-1.000,,,,-1.000,-1.000
713,2025-09-21T16:52:41.952,300.0,-1.000,,,,-1.000,-1.000
813,2025-09-21T16:52:42.052,300.0,-1.000,,,,-1.000,-1.000
913,2025-09-21T16:52:42.136,300.0,0.051,0.051,0.051,0.051,0.051,-0.298
1013,2025-09-21T16:52:42.267,300.0,-1.000,0.051,0.051,0.051,0.051,-0.298
1113,2025-09-21T16:52:42.368,300.0,-1.000,0.051,0.051,0.051,0.051,-0.298
1213,2025-09-21T16:52:42.437,300.0,0.051,0.051,0.051,0.051,0.051,-0.157
1313,2025-09-21T16:52:42.568,300.0,-1.000,0.051,0.051,0.051,0.051,-0.157
1413,2025-09-21T16:52:42.660,300.0,296.489,74.161,74.161,0.051,296.489,85.585
1513,2025-09-21T16:52:42.765,300.0,296.163,129.661,129.661,148.107,296.163,133.056
1613,2025-09-21T16:52:42.866,300.0,296.129,171.278,171.278,296.129,296.129,163.272
1713,2025-09-21T16:52:42.977,300.0,-1.000,171.278,171.278,296.129,296.129,163.272
1813,2025-09-21T16:52:43.076,300.0,-1.000,171.278,171.278,296.129,296.129,163.272
1913,2025-09-21T16:52:43.166,300.0,296.163,202.500,202.500,296.163,296.163,179.565
2013,2025-09-21T16:52:43.277,300.0,-1.000,202.500,202.500,296.163,296.146,179.565
2113,2025-09-21T16:52:43.377,300.0,-1.000,202.500,202.500,296.163,296.146,179.565
2213,2025-09-21T16:52:43.477,300.0,-1.000,202.500,202.500,296.163,296.146,179.565
2313,2025-09-21T16:52:43.576,300.0,-1.000,202.500,202.500,296.163,296.146,179.565
2413,2025-09-21T16:52:43.676,300.0,-1.000,202.500,202.500,296.163,296.146,179.565
2513,2025-09-21T16:52:43.777,300.0,-1.000,202.500,202.500,296.163,296.146,179.565
2613,2025-09-21T16:52:43.877,300.0,-1.000,202.500,202.500,296.163,296.146,179.565
2713,2025-09-21T16:52:43.976,300.0,-1.000,202.500,202.500,296.163,296.146,179.565
2813,2025-09-21T16:52:44.077,300.0,-1.000,202.500,202.500,296.163,296.146,179.565
2913,2025-09-21T16:52:44.165,300.0,295.443,225.735,225.735,296.163,295.443,187.090
3013,2025-09-21T16:52:44.276,300.0,-1.000,225.735,225.735,296.163,296.129,187.090
3113,2025-09-21T16:52:44.365,300.0,296.506,243.428,243.428,296.163,296.506,193.742
3213,2025-09-21T16:52:44.477,300.0,-1.000,243.428,243.428,296.163,296.146,193.742
3313,2025-09-21T16:52:44.577,300.0,-1.000,243.428,243.428,296.163,296.146,193.742
3413,2025-09-21T16:52:44.665,300.0,296.952,256.809,256.809,296.163,296.952,199.545
3513,2025-09-21T16:52:44.776,300.0,-1.000,256.809,256.809,296.163,296.163,199.545
3613,2025-09-21T16:52:44.876,300.0,-1.000,256.809,256.809,296.163,296.163,199.545
3713,2025-09-21T16:52:44.977,300.0,-1.000,256.809,256.809,296.163,296.163,199.545
3813,2025-09-21T16:52:45.077,300.0,-1.000,256.809,256.809,296.163,296.163,199.545
3913,2025-09-21T16:52:45.177,300.0,-1.000,256.809,256.809,296.163,296.163,199.545
4013,2025-09-21T16:52:45.276,300.0,-1.000,256.809,256.809,296.163,296.163,199.545
4113,2025-09-21T16:52:45.377,300.0,-1.000,256.809,256.809,296.163,296.163,199.545
4213,2025-09-21T16:52:45.477,300.0,-1.000,256.809,256.809,296.163,296.163,199.545
