t_ms,host_time_iso,true_distance_cm,raw_cm,ema_cm,lp_cm,median_cm,outlier_cm,kalman_cm
413,2025-09-21T16:46:18.633,120,116.088,116.088,116.088,116.088,116.088,116.088
513,2025-09-21T16:46:18.688,120,117.152,116.354,116.354,116.62,117.152,116.797
613,2025-09-21T16:46:18.781,120,115.197,116.065,116.065,116.088,115.197,116.156
713,2025-09-21T16:46:18.880,120,115.094,115.822,115.822,115.642,115.094,115.851
813,2025-09-21T16:46:18.981,120,115.574,115.76,115.76,115.574,115.574,115.789
913,2025-09-21T16:46:19.081,120,116.62,115.975,115.975,115.574,116.62,115.942
1013,2025-09-21T16:46:19.181,120,114.408,115.583,115.583,115.197,114.408,115.701
1113,2025-09-21T16:46:19.282,120,114.048,115.199,115.199,115.094,114.048,115.474
1213,2025-09-21T16:46:19.382,120,115.197,115.199,115.199,115.197,115.197,115.44
1313,2025-09-21T16:46:19.482,120,114.785,115.095,115.095,114.785,114.785,115.367
1413,2025-09-21T16:46:19.582,120,114.579,114.966,114.966,114.579,114.579,115.288
1513,2025-09-21T16:46:19.682,120,117.1,115.5,115.5,114.785,117.1,115.457
1613,2025-09-21T16:46:19.782,120,115.985,115.621,115.621,115.197,115.985,115.503
1713,2025-09-21T16:46:19.882,120,116.466,115.832,115.832,115.985,116.466,115.582
1813,2025-09-21T16:46:19.982,120,115.728,115.806,115.806,115.985,115.728,115.593
1913,2025-09-21T16:46:20.082,120,117.255,116.168,116.168,116.466,117.255,115.716
2013,2025-09-21T16:46:20.182,120,117.203,116.427,116.427,116.466,117.203,115.82
2113,2025-09-21T16:46:20.282,120,115.625,116.227,116.227,116.466,115.625,115.807
2213,2025-09-21T16:46:20.382,120,117.855,116.634,116.634,117.203,117.855,115.94
2313,2025-09-21T16:46:20.482,120,115.78,116.42,116.42,117.203,115.78,115.93
2413,2025-09-21T16:46:20.582,120,116.689,116.487,116.487,116.689,116.689,115.976
2513,2025-09-21T16:46:20.681,120,115.368,116.207,116.207,115.78,115.368,115.94
2613,2025-09-21T16:46:20.782,120,116.054,116.169,116.169,116.054,116.054,115.947
2713,2025-09-21T16:46:20.882,120,117.152,116.415,116.415,116.054,117.152,116.014
2813,2025-09-21T16:46:20.982,120,119.261,117.126,117.126,116.689,119.261,116.193
2913,2025-09-21T16:46:21.081,120,116.671,117.013,117.013,116.671,116.671,116.219
3013,2025-09-21T16:46:21.182,120,117.889,117.232,117.232,117.152,117.889,116.307
3113,2025-09-21T16:46:21.282,120,115.883,116.894,116.894,117.152,115.883,116.285
3213,2025-09-21T16:46:21.382,120,116.363,116.762,116.762,116.671,116.363,116.289
3313,2025-09-21T16:46:21.481,120,117.683,116.992,116.992,116.671,117.683,116.36
3413,2025-09-21T16:46:21.582,120,118.404,117.345,117.345,117.683,118.404,116.462
3513,2025-09-21T16:46:21.682,120,117.941,117.494,117.494,117.683,117.941,116.535
3613,2025-09-21T16:46:21.782,120,118.318,117.7,117.7,117.941,118.318,116.622
3713,2025-09-21T16:46:21.882,120,118.163,117.816,117.816,118.163,118.163,116.697
3813,2025-09-21T16:46:22.003,120,-1,117.816,117.816,118.163,117.889,116.697
3913,2025-09-21T16:46:22.103,120,-1,117.816,117.816,118.163,117.889,116.697
4013,2025-09-21T16:46:22.171,120,0.051,88.375,88.375,118.163,117.889,111.181
4113,2025-09-21T16:46:22.280,120,116.14,95.316,95.316,117.941,116.14,111.414
4213,2025-09-21T16:46:22.382,120,118.729,101.169,101.169,118.163,118.729,111.755
4313,2025-09-21T16:46:22.482,120,119.055,105.641,105.641,118.163,119.055,112.094
4413,2025-09-21T16:46:22.581,120,115.214,108.034,108.034,116.14,115.214,112.238
4513,2025-09-21T16:46:22.681,120,115.145,109.812,109.812,116.14,115.145,112.372
4613,2025-09-21T16:46:22.781,120,116.105,111.385,111.385,116.105,116.105,112.543
4713,2025-09-21T16:46:22.904,120,-1,111.385,111.385,116.105,117.941,112.543
4813,2025-09-21T16:46:23.004,120,-1,111.385,111.385,116.105,117.941,112.543
4913,2025-09-21T16:46:23.071,120,0.051,83.552,83.552,115.214,116.14,107.448
5013,2025-09-21T16:46:23.201,120,-1,83.552,83.552,115.214,116.14,107.448
5113,2025-09-21T16:46:23.301,120,-1,83.552,83.552,115.214,116.14,107.448
5213,2025-09-21T16:46:23.371,120,0.051,62.677,62.677,115.145,116.105,102.624
5313,2025-09-21T16:46:23.480,120,115.831,75.965,75.965,115.145,115.831,103.216
5413,2025-09-21T16:46:23.580,120,115.608,85.876,85.876,115.608,115.608,103.77
5513,2025-09-21T16:46:23.680,120,116.894,93.631,93.631,115.608,116.894,104.356
5613,2025-09-21T16:46:23.780,120,114.528,98.855,98.855,115.608,114.528,104.809
5713,2025-09-21T16:46:23.882,120,118.146,103.678,103.678,115.831,118.146,105.403
5813,2025-09-21T16:46:23.982,120,115.985,106.755,106.755,115.985,115.985,105.873
5913,2025-09-21T16:46:24.082,120,115.197,108.865,108.865,115.985,115.197,106.286
6013,2025-09-21T16:46:24.182,120,115.145,110.435,110.435,115.197,115.145,106.679
6113,2025-09-21T16:46:24.282,120,117.049,112.089,112.089,115.985,117.049,107.138
6213,2025-09-21T16:46:24.381,120,117.032,113.324,113.324,115.985,117.032,107.575
6313,2025-09-21T16:46:24.481,120,117.563,114.384,114.384,117.032,117.563,108.017
6413,2025-09-21T16:46:24.582,120,115.265,114.604,114.604,117.032,115.265,108.336
6513,2025-09-21T16:46:24.682,120,117.306,115.28,115.28,117.049,117.306,108.732
6613,2025-09-21T16:46:24.782,120,116.791,115.658,115.658,117.032,116.791,109.087
6713,2025-09-21T16:46:24.882,120,117.838,116.203,116.203,117.306,117.838,109.473
6813,2025-09-21T16:46:24.981,120,117.049,116.414,116.414,117.049,117.049,109.806
6913,2025-09-21T16:46:25.082,120,116.671,116.479,116.479,117.049,116.671,110.108
7013,2025-09-21T16:46:25.182,120,117.049,116.621,116.621,117.049,117.049,110.413
7113,2025-09-21T16:46:25.281,120,115.728,116.398,116.398,117.049,115.728,110.647
7213,2025-09-21T16:46:25.382,120,117.46,116.663,116.663,117.049,117.46,110.946
7313,2025-09-21T16:46:25.503,120,-1,116.663,116.663,117.049,117.049,110.946
7413,2025-09-21T16:46:25.604,120,-1,116.663,116.663,117.049,117.049,110.946
7513,2025-09-21T16:46:25.672,120,0.051,87.51,87.51,116.671,117.049,106.08
7613,2025-09-21T16:46:25.779,120,116.946,94.869,94.869,116.946,116.946,106.556
7713,2025-09-21T16:46:25.882,120,117.306,100.478,100.478,116.946,117.306,107.028
7813,2025-09-21T16:46:25.982,120,119.57,105.251,105.251,117.306,117.049,107.578
7913,2025-09-21T16:46:26.081,120,117.409,108.291,108.291,117.306,117.409,108.009
8013,2025-09-21T16:46:26.182,120,117.426,110.575,110.575,117.409,117.426,108.422
8113,2025-09-21T16:46:26.282,120,116.466,112.047,112.047,117.409,116.466,108.774
8213,2025-09-21T16:46:26.382,120,114.253,112.599,112.599,117.409,117.049,109.014
8313,2025-09-21T16:46:26.481,120,113.739,112.884,112.884,116.466,116.946,109.221
8413,2025-09-21T16:46:26.581,120,115.78,113.608,113.608,115.78,115.78,109.508
8513,2025-09-21T16:46:26.682,120,114.356,113.795,113.795,114.356,114.356,109.721
8613,2025-09-21T16:46:26.782,120,115.214,114.15,114.15,114.356,115.214,109.961
8713,2025-09-21T16:46:26.882,120,115.317,114.441,114.441,115.214,115.317,110.196
8813,2025-09-21T16:46:26.982,120,113.464,114.197,114.197,115.214,113.464,110.339
8913,2025-09-21T16:46:27.081,120,112.212,113.701,113.701,114.356,112.212,110.421
9013,2025-09-21T16:46:27.182,120,117.1,114.551,114.551,115.214,117.1,110.713
9113,2025-09-21T16:46:27.281,120,114.099,114.438,114.438,114.099,114.099,110.861
9213,2025-09-21T16:46:27.381,120,114.202,114.379,114.379,114.099,114.202,111.008
9313,2025-09-21T16:46:27.481,120,115.522,114.665,114.665,114.202,115.522,111.205
9413,2025-09-21T16:46:27.582,120,116.208,115.051,115.051,115.522,116.208,111.424
9513,2025-09-21T16:46:27.681,120,116.826,115.494,115.494,115.522,116.826,111.66
9613,2025-09-21T16:46:27.782,120,116.363,115.712,115.712,116.208,116.363,111.866
