t_ms,host_time_iso,true_distance_cm,raw_cm,ema_cm,lp_cm,median_cm,outlier_cm,kalman_cm
413,2025-09-21T16:42:56.971,40.0,-1.000,,,,-1.000,-1.000
513,2025-09-21T16:42:57.041,40.0,-1.000,,,,-1.000,-1.000
613,2025-09-21T16:42:57.127,40.0,0.051,0.051,0.051,0.051,0.051,-0.299
713,2025-09-21T16:42:57.230,40.0,37.215,9.342,9.342,18.633,37.215,14.740
813,2025-09-21T16:42:57.357,40.0,-1.000,9.342,9.342,18.633,18.633,14.740
913,2025-09-21T16:42:57.457,40.0,-1.000,9.342,9.342,18.633,18.633,14.740
1013,2025-09-21T16:42:57.526,40.0,0.051,7.020,7.020,0.051,0.051,12.029
1113,2025-09-21T16:42:57.656,40.0,-1.000,7.020,7.020,0.051,0.051,12.029
1213,2025-09-21T16:42:57.756,40.0,-1.000,7.020,7.020,0.051,0.051,12.029
1313,2025-09-21T16:42:57.826,40.0,0.051,5.278,5.278,0.051,0.051,10.564
1413,2025-09-21T16:42:57.932,40.0,36.204,13.009,13.009,0.051,36.204,13.399
1513,2025-09-21T16:42:58.034,40.0,36.632,18.915,18.915,36.204,36.632,15.750
1613,2025-09-21T16:42:58.133,40.0,35.621,23.091,23.091,35.621,35.621,17.608
1713,2025-09-21T16:42:58.233,40.0,34.420,25.924,25.924,35.621,34.420,19.074
1813,2025-09-21T16:42:58.333,40.0,35.055,28.206,28.206,35.621,35.055,20.383
1913,2025-09-21T16:42:58.433,40.0,34.883,29.875,29.875,35.055,34.883,21.505
2013,2025-09-21T16:42:58.533,40.0,34.780,31.102,31.102,34.883,34.780,22.482
2113,2025-09-21T16:42:58.633,40.0,34.952,32.064,32.064,34.883,34.952,23.358
2213,2025-09-21T16:42:58.733,40.0,35.363,32.889,32.889,34.952,35.363,24.167
2313,2025-09-21T16:42:58.834,40.0,35.466,33.533,33.533,34.952,35.466,24.900
2413,2025-09-21T16:42:58.933,40.0,39.479,35.020,35.020,35.363,35.363,25.814
2513,2025-09-21T16:42:59.033,40.0,34.420,34.870,34.870,35.363,34.420,26.337
2613,2025-09-21T16:42:59.133,40.0,34.849,34.865,34.865,35.363,34.849,26.839
2713,2025-09-21T16:42:59.233,40.0,34.369,34.741,34.741,34.849,34.369,27.272
2813,2025-09-21T16:42:59.361,40.0,-1.000,34.741,34.741,34.849,34.883,27.272
2913,2025-09-21T16:42:59.461,40.0,-1.000,34.741,34.741,34.849,34.883,27.272
3013,2025-09-21T16:42:59.530,40.0,0.051,26.068,26.068,34.420,34.883,25.805
3113,2025-09-21T16:42:59.633,40.0,35.106,28.328,28.328,34.420,35.106,26.297
3213,2025-09-21T16:42:59.733,40.0,35.741,30.181,30.181,34.849,35.741,26.789
3313,2025-09-21T16:42:59.833,40.0,36.255,31.699,31.699,35.106,36.255,27.275
3413,2025-09-21T16:42:59.933,40.0,37.781,33.220,33.220,35.741,37.781,27.807
3513,2025-09-21T16:43:00.033,40.0,37.215,34.219,34.219,36.255,37.215,28.277
3613,2025-09-21T16:43:00.133,40.0,36.941,34.899,34.899,36.941,36.941,28.705
3713,2025-09-21T16:43:00.234,40.0,35.843,35.135,35.135,36.941,35.843,29.054
3813,2025-09-21T16:43:00.333,40.0,35.466,35.218,35.218,36.941,35.466,29.365
3913,2025-09-21T16:43:00.434,40.0,40.251,36.476,36.476,36.941,40.251,29.888
4013,2025-09-21T16:43:00.534,40.0,37.679,36.777,36.777,36.941,37.679,30.259
4113,2025-09-21T16:43:00.661,40.0,-1.000,36.777,36.777,36.941,36.255,30.259
4213,2025-09-21T16:43:00.761,40.0,-1.000,36.777,36.777,36.941,36.255,30.259
4313,2025-09-21T16:43:00.830,40.0,0.051,27.596,27.596,35.843,36.255,28.849
4413,2025-09-21T16:43:00.934,40.0,32.894,28.920,28.920,35.466,32.894,29.036
4513,2025-09-21T16:43:01.033,40.0,32.259,29.755,29.755,32.894,32.259,29.185
4613,2025-09-21T16:43:01.133,40.0,33.631,30.724,30.724,32.894,33.631,29.390
4713,2025-09-21T16:43:01.233,40.0,33.631,31.451,31.451,32.894,33.631,29.584
4813,2025-09-21T16:43:01.333,40.0,33.048,31.850,31.850,33.048,33.048,29.742
4913,2025-09-21T16:43:01.433,40.0,33.888,32.360,32.360,33.631,33.888,29.930
5013,2025-09-21T16:43:01.533,40.0,33.734,32.703,32.703,33.631,33.734,30.102
5113,2025-09-21T16:43:01.633,40.0,33.631,32.935,32.935,33.631,33.631,30.262
5213,2025-09-21T16:43:01.734,40.0,37.730,34.134,34.134,33.734,33.631,30.598
5313,2025-09-21T16:43:01.833,40.0,39.479,35.470,35.470,33.888,33.631,30.997
5413,2025-09-21T16:43:01.934,40.0,35.106,35.379,35.379,35.106,35.106,31.181
5513,2025-09-21T16:43:02.033,40.0,34.729,35.217,35.217,35.106,34.729,31.340
5613,2025-09-21T16:43:02.133,40.0,34.420,35.017,35.017,35.106,34.420,31.477
5713,2025-09-21T16:43:02.234,40.0,41.211,36.566,36.566,35.106,34.420,31.911
5813,2025-09-21T16:43:02.333,40.0,34.952,36.162,36.162,34.952,34.952,32.046
5913,2025-09-21T16:43:02.433,40.0,34.849,35.834,35.834,34.849,34.849,32.171
6013,2025-09-21T16:43:02.533,40.0,35.946,35.862,35.862,34.952,35.946,32.338
6113,2025-09-21T16:43:02.633,40.0,35.843,35.857,35.857,35.843,35.843,32.494
6213,2025-09-21T16:43:02.733,40.0,38.845,36.604,36.604,35.843,38.845,32.775
6313,2025-09-21T16:43:02.861,40.0,-1.000,36.604,36.604,35.843,35.843,32.775
6413,2025-09-21T16:43:02.960,40.0,-1.000,36.604,36.604,35.843,35.843,32.775
6513,2025-09-21T16:43:03.031,40.0,0.051,27.466,27.466,35.843,35.106,31.330
6613,2025-09-21T16:43:03.133,40.0,36.324,29.680,29.680,35.946,36.324,31.551
6713,2025-09-21T16:43:03.233,40.0,37.267,31.577,31.577,36.324,37.267,31.803
6813,2025-09-21T16:43:03.333,40.0,37.267,33.000,33.000,37.267,37.267,32.043
6913,2025-09-21T16:43:03.433,40.0,36.324,33.831,33.831,36.324,36.324,32.232
7013,2025-09-21T16:43:03.533,40.0,37.044,34.634,34.634,37.044,37.044,32.443
7113,2025-09-21T16:43:03.633,40.0,38.639,35.635,35.635,37.267,38.639,32.716
7213,2025-09-21T16:43:03.734,40.0,36.838,35.936,35.936,37.044,36.838,32.897
7313,2025-09-21T16:43:03.833,40.0,36.735,36.136,36.136,36.838,36.735,33.065
7413,2025-09-21T16:43:03.933,40.0,37.473,36.470,36.470,37.044,37.473,33.259
7513,2025-09-21T16:43:04.033,40.0,40.680,37.522,37.522,37.473,37.044,33.585
7613,2025-09-21T16:43:04.133,40.0,37.267,37.459,37.459,37.267,37.267,33.746
7713,2025-09-21T16:43:04.234,40.0,39.737,38.028,38.028,37.473,37.267,34.009
7813,2025-09-21T16:43:04.334,40.0,36.838,37.731,37.731,37.473,36.838,34.133
7913,2025-09-21T16:43:04.433,40.0,37.215,37.602,37.602,37.267,37.215,34.268
8013,2025-09-21T16:43:04.534,40.0,36.204,37.252,37.252,37.215,36.204,34.353
