activity,sensor,axis,snr_db,mse,rmse,nrmse,correlation,smoothness_improvement,lag_samples,freq_distortion,peak_preservation_ratio,dynamic_range_ratio
Walking Downstairs,accelerometer,x,5.081527674299004,1.0699026274687595,1.0343609754185237,0.07620876828074917,0.8803685295877726,20.485179200080626,1,37.43100710418576,0.625,0.6258333085093324
Walking Downstairs,accelerometer,y,14.209893400133824,2.9761292779416872,1.725146161327117,0.045464262827244695,0.9782794400233831,14.517780992758007,1,58.05690587485147,0.5348258706467661,0.7040575810879224
Walking Downstairs,accelerometer,z,8.691073642034233,1.5063249602577786,1.2273243093240591,0.06684360603551409,0.8813057630596363,12.545638701345595,2,39.58333148549178,0.5714285714285714,0.5384177557512192
Walking Downstairs,gyroscope,x,-0.3701479944477388,0.10062789352921754,0.31721899931942527,0.09379419299899935,0.7394415023429528,7.57753493601231,2,8.815810370020515,0.6190476190476191,0.548727590054069
Walking Downstairs,gyroscope,y,-1.6636050385694316,0.2567243421946454,0.5066797234887591,0.08930188027409766,0.6882425207944631,9.824975273521286,2,14.47909307802764,0.5922330097087378,0.49603124769651985
Walking Downstairs,gyroscope,z,-0.29432617929294197,0.1417542846883265,0.376502702099635,0.07245427455520474,0.7383740803972075,10.66474783615889,2,11.510364938986138,0.5935672514619883,0.4777254474824059
